sampled_at,active_sessions,lock_waiters,blocked_sessions,ungranted_locks,lock_wait_events,waiting_queries
2026-09-05 15:09:19.03433+00,0,0,0,0,,
2026-09-05 15:09:19.136609+00,0,0,0,0,,
2026-09-05 15:09:19.238388+00,0,0,0,0,,
2026-09-05 15:09:19.34011+00,0,0,0,0,,
2026-09-05 15:09:19.441814+00,0,0,0,0,,
2026-09-05 15:09:19.543498+00,0,0,0,0,,
2026-09-05 15:09:19.645273+00,0,0,0,0,,
2026-09-05 15:09:19.746992+00,0,0,0,0,,
2026-09-05 15:09:19.847751+00,0,0,0,0,,
2026-09-05 15:09:19.949952+00,0,0,0,0,,
2026-09-05 15:09:20.051676+00,0,0,0,0,,
2026-09-05 15:09:20.153345+00,0,0,0,0,,
2026-09-05 15:09:20.254999+00,0,0,0,0,,
2026-09-05 15:09:20.356753+00,0,0,0,0,,
2026-09-05 15:09:20.458436+00,0,0,0,0,,
2026-09-05 15:09:20.560086+00,0,0,0,0,,
2026-09-05 15:09:20.661811+00,0,0,0,0,,
2026-09-05 15:09:20.763504+00,0,0,0,0,,
2026-09-05 15:09:20.865197+00,0,0,0,0,,
2026-09-05 15:09:20.966853+00,0,0,0,0,,
2026-09-05 15:09:21.068605+00,0,0,0,0,,
2026-09-05 15:09:21.170299+00,0,0,0,0,,
2026-09-05 15:09:21.272016+00,0,0,0,0,,
2026-09-05 15:09:21.373714+00,0,0,0,0,,
2026-09-05 15:09:21.475383+00,0,0,0,0,,
2026-09-05 15:09:21.57729+00,0,0,0,0,,
2026-09-05 15:09:21.67903+00,0,0,0,0,,
2026-09-05 15:09:21.780747+00,0,0,0,0,,
2026-09-05 15:09:21.882457+00,0,0,0,0,,
2026-09-05 15:09:21.984184+00,0,0,0,0,,
2026-09-05 15:09:22.085976+00,0,0,0,0,,
2026-09-05 15:09:22.187719+00,0,0,0,0,,
2026-09-05 15:09:22.289419+00,0,0,0,0,,
2026-09-05 15:09:22.391061+00,0,0,0,0,,
2026-09-05 15:09:22.492898+00,0,0,0,0,,
2026-09-05 15:09:22.594578+00,0,0,0,0,,
2026-09-05 15:09:22.696279+00,0,0,0,0,,
2026-09-05 15:09:22.797024+00,0,0,0,0,,
2026-09-05 15:09:22.898895+00,0,0,0,0,,
2026-09-05 15:09:23.000749+00,0,0,0,0,,
2026-09-05 15:09:23.102528+00,0,0,0,0,,
2026-09-05 15:09:23.204279+00,0,0,0,0,,
2026-09-05 15:09:23.306921+00,2,2,2,2,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:23.408941+00,4,4,4,4,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
