CREATE TABLE
INSERT 0 1
CREATE TABLE
DO
sampled_at,active_sessions,lock_waiters,blocked_sessions,ungranted_locks,lock_wait_events,waiting_queries
2026-09-07 15:01:43.069201+00,0,0,0,0,,
2026-09-07 15:01:43.171113+00,0,0,0,0,,
2026-09-07 15:01:43.272826+00,0,0,0,0,,
2026-09-07 15:01:43.374605+00,0,0,0,0,,
2026-09-07 15:01:43.475172+00,0,0,0,0,,
2026-09-07 15:01:43.575871+00,0,0,0,0,,
2026-09-07 15:01:43.676656+00,0,0,0,0,,
2026-09-07 15:01:43.778425+00,0,0,0,0,,
2026-09-07 15:01:43.880256+00,0,0,0,0,,
2026-09-07 15:01:43.982093+00,0,0,0,0,,
2026-09-07 15:01:44.083773+00,0,0,0,0,,
2026-09-07 15:01:44.185611+00,0,0,0,0,,
2026-09-07 15:01:44.286638+00,0,0,0,0,,
2026-09-07 15:01:44.388353+00,0,0,0,0,,
2026-09-07 15:01:44.489984+00,0,0,0,0,,
2026-09-07 15:01:44.591657+00,0,0,0,0,,
2026-09-07 15:01:44.693313+00,0,0,0,0,,
2026-09-07 15:01:44.794966+00,0,0,0,0,,
2026-09-07 15:01:44.896689+00,0,0,0,0,,
2026-09-07 15:01:44.998634+00,0,0,0,0,,
2026-09-07 15:01:45.10039+00,0,0,0,0,,
2026-09-07 15:01:45.202121+00,0,0,0,0,,
2026-09-07 15:01:45.303784+00,0,0,0,0,,
2026-09-07 15:01:45.405497+00,0,0,0,0,,
2026-09-07 15:01:45.507229+00,0,0,0,0,,
2026-09-07 15:01:45.608881+00,0,0,0,0,,
2026-09-07 15:01:45.710674+00,0,0,0,0,,
2026-09-07 15:01:45.81236+00,0,0,0,0,,
2026-09-07 15:01:45.914023+00,0,0,0,0,,
2026-09-07 15:01:46.015818+00,0,0,0,0,,
2026-09-07 15:01:46.117553+00,0,0,0,0,,
2026-09-07 15:01:46.219187+00,0,0,0,0,,
2026-09-07 15:01:46.320837+00,0,0,0,0,,
2026-09-07 15:01:46.422888+00,0,0,0,0,,
2026-09-07 15:01:46.524603+00,0,0,0,0,,
2026-09-07 15:01:46.626323+00,0,0,0,0,,
2026-09-07 15:01:46.728067+00,0,0,0,0,,
2026-09-07 15:01:46.828752+00,0,0,0,0,,
2026-09-07 15:01:46.930467+00,0,0,0,0,,
2026-09-07 15:01:47.032169+00,0,0,0,0,,
2026-09-07 15:01:47.13381+00,0,0,0,0,,
2026-09-07 15:01:47.23544+00,0,0,0,0,,
2026-09-07 15:01:47.337052+00,0,0,0,0,,
2026-09-07 15:01:47.438782+00,0,0,0,0,,
2026-09-07 15:01:47.539452+00,0,0,0,0,,
2026-09-07 15:01:47.640064+00,0,0,0,0,,
2026-09-07 15:01:47.741726+00,0,0,0,0,,
2026-09-07 15:01:47.843436+00,0,0,0,0,,
2026-09-07 15:01:47.945145+00,0,0,0,0,,
2026-09-07 15:01:48.046857+00,0,0,0,0,,
2026-09-07 15:01:48.148704+00,0,0,0,0,,
2026-09-07 15:01:48.250581+00,0,0,0,0,,
2026-09-07 15:01:48.352232+00,0,0,0,0,,
2026-09-07 15:01:48.453929+00,0,0,0,0,,
2026-09-07 15:01:48.555601+00,0,0,0,0,,
2026-09-07 15:01:48.657467+00,0,0,0,0,,
2026-09-07 15:01:48.759261+00,0,0,0,0,,
2026-09-07 15:01:48.860893+00,0,0,0,0,,
2026-09-07 15:01:48.962742+00,0,0,0,0,,
2026-09-07 15:01:49.064579+00,1,1,1,1,Lock:transactionid,"SELECT inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_quantity, inventories.updated_at  FROM inventories  WHERE inventories.sale_item_id IN ($1::UUID) ORDER "
2026-09-07 15:01:49.166595+00,4,4,4,4,Lock:transactionid | Lock:tuple,"SELECT inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_quantity, inventories.updated_at  FROM inventories  WHERE inventories.sale_item_id IN ($1::UUID) ORDER "
2026-09-07 15:01:49.26903+00,10,10,10,10,Lock:transactionid | Lock:tuple,"SELECT inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_quantity, inventories.updated_at  FROM inventories  WHERE inventories.sale_item_id IN ($1::UUID) ORDER "
2026-09-07 15:01:49.37156+00,16,15,15,12,Lock:transactionid | Lock:tuple,"SELECT inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_quantity, inventories.updated_at  FROM inventories  WHERE inventories.sale_item_id IN ($1::UUID) ORDER "
2026-09-07 15:01:49.474641+00,17,17,17,17,Lock:transactionid | Lock:tuple,"SELECT inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_quantity, inventories.updated_at  FROM inventories  WHERE inventories.sale_item_id IN ($1::UUID) ORDER "
2026-09-07 15:01:49.577042+00,22,22,22,22,Lock:transactionid | Lock:tuple,"SELECT inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_quantity, inventories.updated_at  FROM inventories  WHERE inventories.sale_item_id IN ($1::UUID) ORDER "
2026-09-07 15:01:49.679826+00,26,26,26,26,Lock:transactionid | Lock:tuple,"SELECT inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_quantity, inventories.updated_at  FROM inventories  WHERE inventories.sale_item_id IN ($1::UUID) ORDER "
2026-09-07 15:01:49.782924+00,21,21,21,21,Lock:transactionid | Lock:tuple,"SELECT inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_quantity, inventories.updated_at  FROM inventories  WHERE inventories.sale_item_id IN ($1::UUID) ORDER "
2026-09-07 15:01:49.885896+00,22,22,22,22,Lock:transactionid | Lock:tuple,"SELECT inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_quantity, inventories.updated_at  FROM inventories  WHERE inventories.sale_item_id IN ($1::UUID) ORDER "
2026-09-07 15:01:49.988524+00,19,19,19,19,Lock:transactionid | Lock:tuple,"SELECT inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_quantity, inventories.updated_at  FROM inventories  WHERE inventories.sale_item_id IN ($1::UUID) ORDER "
2026-09-07 15:01:50.090952+00,22,21,21,21,Lock:transactionid | Lock:tuple,"SELECT inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_quantity, inventories.updated_at  FROM inventories  WHERE inventories.sale_item_id IN ($1::UUID) ORDER "
2026-09-07 15:01:50.192484+00,19,18,18,18,Lock:transactionid | Lock:tuple,"SELECT inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_quantity, inventories.updated_at  FROM inventories  WHERE inventories.sale_item_id IN ($1::UUID) ORDER "
2026-09-07 15:01:50.294906+00,18,18,18,18,Lock:transactionid | Lock:tuple,"SELECT inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_quantity, inventories.updated_at  FROM inventories  WHERE inventories.sale_item_id IN ($1::UUID) ORDER "
2026-09-07 15:01:50.397587+00,19,18,18,18,Lock:transactionid | Lock:tuple,"SELECT inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_quantity, inventories.updated_at  FROM inventories  WHERE inventories.sale_item_id IN ($1::UUID) ORDER "
2026-09-07 15:01:50.500225+00,15,15,15,15,Lock:transactionid | Lock:tuple,"SELECT inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_quantity, inventories.updated_at  FROM inventories  WHERE inventories.sale_item_id IN ($1::UUID) ORDER "
2026-09-07 15:01:57.359371+00,0,0,0,0,,
2026-09-07 15:01:57.461932+00,0,0,0,0,,
2026-09-07 15:01:50.603874+00,16,15,12,14,Lock:transactionid | Lock:tuple,"SELECT inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_quantity, inventories.updated_at  FROM inventories  WHERE inventories.sale_item_id IN ($1::UUID) ORDER "
2026-09-07 15:01:50.706659+00,15,14,14,14,Lock:transactionid | Lock:tuple,"SELECT inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_quantity, inventories.updated_at  FROM inventories  WHERE inventories.sale_item_id IN ($1::UUID) ORDER "
2026-09-07 15:01:50.809491+00,13,12,13,13,Lock:transactionid | Lock:tuple,"SELECT inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_quantity, inventories.updated_at  FROM inventories  WHERE inventories.sale_item_id IN ($1::UUID) ORDER "
2026-09-07 15:01:50.912019+00,14,13,13,13,Lock:transactionid | Lock:tuple,"SELECT inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_quantity, inventories.updated_at  FROM inventories  WHERE inventories.sale_item_id IN ($1::UUID) ORDER "
2026-09-07 15:01:51.014588+00,12,11,11,11,Lock:transactionid | Lock:tuple,"SELECT inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_quantity, inventories.updated_at  FROM inventories  WHERE inventories.sale_item_id IN ($1::UUID) ORDER "
2026-09-07 15:01:51.117055+00,12,12,12,12,Lock:transactionid | Lock:tuple,"SELECT inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_quantity, inventories.updated_at  FROM inventories  WHERE inventories.sale_item_id IN ($1::UUID) ORDER "
2026-09-07 15:01:51.219578+00,10,10,10,10,Lock:transactionid | Lock:tuple,"SELECT inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_quantity, inventories.updated_at  FROM inventories  WHERE inventories.sale_item_id IN ($1::UUID) ORDER "
2026-09-07 15:01:51.322055+00,6,6,6,6,Lock:transactionid | Lock:tuple,"SELECT inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_quantity, inventories.updated_at  FROM inventories  WHERE inventories.sale_item_id IN ($1::UUID) ORDER "
2026-09-07 15:01:51.424526+00,6,6,6,6,Lock:transactionid | Lock:tuple,"SELECT inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_quantity, inventories.updated_at  FROM inventories  WHERE inventories.sale_item_id IN ($1::UUID) ORDER "
2026-09-07 15:01:51.526907+00,2,2,2,2,Lock:transactionid | Lock:tuple,"SELECT inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_quantity, inventories.updated_at  FROM inventories  WHERE inventories.sale_item_id IN ($1::UUID) ORDER "
2026-09-07 15:01:51.629371+00,6,6,6,6,Lock:transactionid | Lock:tuple,"SELECT inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_quantity, inventories.updated_at  FROM inventories  WHERE inventories.sale_item_id IN ($1::UUID) ORDER "
