checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:41 +0000] "POST /api/orders/ae53b61b-6916-4159-9851-953aefaba7bb/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:41 +0000] "POST /api/orders/f2ff64a5-016a-4f43-b614-99caef782b00/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:41 +0000] "POST /api/orders/687cf389-a5de-4211-b949-c7ec847d3b36/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:41 +0000] "POST /api/orders/728f696e-aed5-4a12-803f-77ded44bb531/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:41 +0000] "POST /api/orders/1cb341d6-fb93-4589-b897-7325c8be1f19/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:41 +0000] "POST /api/orders/b0ac156e-6bed-4e4a-9edb-72ca01d8f58e/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:41 +0000] "POST /api/orders/1fc710ce-7182-4e4b-b292-caa73ff0c135/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:41 +0000] "POST /api/orders/fe031643-709a-46c0-bcc4-33c8bb72d893/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:41 +0000] "POST /api/orders/8ce26c4d-5a42-4254-bcf9-ab0ddc99e424/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:41 +0000] "POST /api/orders/118631bb-248b-45e6-a2b0-4a5f5a065158/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:41 +0000] "POST /api/orders/ac2d850a-60a0-4ce8-bc15-019b06faf7e9/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:41 +0000] "POST /api/orders/ff3c6dd5-2cd0-40b2-89d7-5ab126a322c2/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:42 +0000] "POST /api/orders/c0ec0388-9fcd-424f-9328-a12d59c076e7/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:42 +0000] "POST /api/orders/7ca6cd64-cf2c-470d-986d-312faed7c782/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:42 +0000] "POST /api/orders/fff17487-3b4d-4a97-bad1-db88e5e67859/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:42 +0000] "POST /api/orders/918269ec-1c0d-4c9a-b293-b68acef068fc/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:42 +0000] "POST /api/orders/09c50239-2cf3-444d-8244-34b6fb6bb559/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:42 +0000] "POST /api/orders/ac5f39c5-d0d9-4575-b37a-25ace1d8993b/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:42 +0000] "POST /api/orders/44212bba-3abd-40f1-a6d7-821397362504/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:42 +0000] "POST /api/orders/fcd59f1d-fb2c-46ec-927f-932561e8be7b/payments HTTP/1.1" 499 0 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:42 +0000] "POST /api/orders/24f67b60-79f6-4ac0-9e44-79d460302c66/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:42 +0000] "POST /api/orders/7f58aaa0-0158-43dc-87d4-1e57cbfe6520/payments HTTP/1.1" 499 0 "-" "k6/0.54.0 (https://k6.io/)"
checkout-nginx-1  | 172.20.0.13 - - [11/Sep/2026:14:47:42 +0000] "POST /api/orders/6aaf9508-815c-427b-9cfd-6e7afbb8aae5/payments HTTP/1.1" 500 168 "-" "k6/0.54.0 (https://k6.io/)"
