"run_id","strategy","users","repeat","initial_stock","failure_mode","failure_limit","http_reqs","http_failed_rate","http_p50_ms","http_p95_ms","http_p99_ms","successful_purchases","sold_out_responses","injected_failure_responses","unexpected_responses","db_initial_quantity","db_sold_quantity","db_order_count","redis_available","stock_decision_count","oversell_count","decision_order_gap"
"20260617-000306-rdb-atomic-failure-u500-r1","rdb-atomic","500","1","100","AFTER_STOCK_DECISION_BEFORE_ORDER_SAVE","10","501","0.798403193612774","622.095048","980.054106","1009.104117","100","390","10","0","100","100","100",,"100","0","0"
"20260617-000306-rdb-atomic-failure-u500-r2","rdb-atomic","500","2","100","AFTER_STOCK_DECISION_BEFORE_ORDER_SAVE","10","501","0.798403193612774","583.721612","715.611734","725.866184","100","390","10","0","100","100","100",,"100","0","0"
"20260617-000306-rdb-atomic-failure-u500-r3","rdb-atomic","500","3","100","AFTER_STOCK_DECISION_BEFORE_ORDER_SAVE","10","501","0.798403193612774","601.840862","716.796806","748.469193","100","390","10","0","100","100","100",,"100","0","0"
"20260617-000306-rdb-atomic-failure-u500-r4","rdb-atomic","500","4","100","AFTER_STOCK_DECISION_BEFORE_ORDER_SAVE","10","501","0.798403193612774","449.121825","524.288066","541.172862","100","390","10","0","100","100","100",,"100","0","0"
"20260617-000306-rdb-atomic-failure-u500-r5","rdb-atomic","500","5","100","AFTER_STOCK_DECISION_BEFORE_ORDER_SAVE","10","501","0.798403193612774","390.591921","465.282021","477.840544","100","390","10","0","100","100","100",,"100","0","0"
"20260617-000306-rdb-atomic-failure-u1000-r1","rdb-atomic","1000","1","100","AFTER_STOCK_DECISION_BEFORE_ORDER_SAVE","10","1001","0.899100899100899","603.18457","765.658579","807.910272","100","890","10","0","100","100","100",,"100","0","0"
"20260617-000306-rdb-atomic-failure-u1000-r2","rdb-atomic","1000","2","100","AFTER_STOCK_DECISION_BEFORE_ORDER_SAVE","10","1001","0.899100899100899","623.740375","779.160474","830.095021","100","890","10","0","100","100","100",,"100","0","0"
"20260617-000306-rdb-atomic-failure-u1000-r3","rdb-atomic","1000","3","100","AFTER_STOCK_DECISION_BEFORE_ORDER_SAVE","10","1001","0.899100899100899","309.993251","431.466464","462.367929","100","890","10","0","100","100","100",,"100","0","0"
"20260617-000306-rdb-atomic-failure-u1000-r4","rdb-atomic","1000","4","100","AFTER_STOCK_DECISION_BEFORE_ORDER_SAVE","10","1001","0.899100899100899","480.32661","583.552446","610.519923","100","890","10","0","100","100","100",,"100","0","0"
"20260617-000306-rdb-atomic-failure-u1000-r5","rdb-atomic","1000","5","100","AFTER_STOCK_DECISION_BEFORE_ORDER_SAVE","10","1001","0.899100899100899","461.372155","582.649445","651.796238","100","890","10","0","100","100","100",,"100","0","0"
"20260617-000510-redis-lua-failure-u500-r1","redis-lua","500","1","100","AFTER_STOCK_DECISION_BEFORE_ORDER_SAVE","10","501","0.818363273453094","416.246982","589.655393","605.500345","90","400","10","0","100","0","90","0","100","0","-10"
"20260617-000510-redis-lua-failure-u500-r2","redis-lua","500","2","100","AFTER_STOCK_DECISION_BEFORE_ORDER_SAVE","10","501","0.818363273453094","242.216906","396.215602","440.273251","90","400","10","0","100","0","90","0","100","0","-10"
"20260617-000510-redis-lua-failure-u500-r3","redis-lua","500","3","100","AFTER_STOCK_DECISION_BEFORE_ORDER_SAVE","10","501","0.818363273453094","237.267085","388.337416","406.101026","90","400","10","0","100","0","90","0","100","0","-10"
"20260617-000510-redis-lua-failure-u500-r4","redis-lua","500","4","100","AFTER_STOCK_DECISION_BEFORE_ORDER_SAVE","10","501","0.818363273453094","180.349661","262.42107","276.137564","90","400","10","0","100","0","90","0","100","0","-10"
"20260617-000510-redis-lua-failure-u500-r5","redis-lua","500","5","100","AFTER_STOCK_DECISION_BEFORE_ORDER_SAVE","10","501","0.818363273453094","140.016944","252.747694","287.340962","90","400","10","0","100","0","90","0","100","0","-10"
"20260617-000510-redis-lua-failure-u1000-r1","redis-lua","1000","1","100","AFTER_STOCK_DECISION_BEFORE_ORDER_SAVE","10","1001","0.909090909090909","288.401129","455.863715","502.225459","90","900","10","0","100","0","90","0","100","0","-10"
"20260617-000510-redis-lua-failure-u1000-r2","redis-lua","1000","2","100","AFTER_STOCK_DECISION_BEFORE_ORDER_SAVE","10","1001","0.909090909090909","322.308399","509.881857","546.369638","90","900","10","0","100","0","90","0","100","0","-10"
"20260617-000510-redis-lua-failure-u1000-r3","redis-lua","1000","3","100","AFTER_STOCK_DECISION_BEFORE_ORDER_SAVE","10","1001","0.909090909090909","198.073076","379.86787","408.446922","90","900","10","0","100","0","90","0","100","0","-10"
"20260617-000510-redis-lua-failure-u1000-r4","redis-lua","1000","4","100","AFTER_STOCK_DECISION_BEFORE_ORDER_SAVE","10","1001","0.909090909090909","193.312234","326.563477","374.081117","90","900","10","0","100","0","90","0","100","0","-10"
"20260617-000510-redis-lua-failure-u1000-r5","redis-lua","1000","5","100","AFTER_STOCK_DECISION_BEFORE_ORDER_SAVE","10","1001","0.909090909090909","90.509042","173.467548","209.389754","90","900","10","0","100","0","90","0","100","0","-10"
