run_id,strategy,users,repeat,initial_stock,http_reqs,http_failed_rate,http_p50_ms,http_p95_ms,http_p99_ms,successful_purchases,sold_out_responses,lock_timeout_responses,unexpected_responses,db_initial_quantity,db_sold_quantity,db_order_count,redis_available,stock_decision_count,oversell_count,decision_order_gap
"20260616-134926-naive-rdb-u100-r1","naive-rdb","100","1","100","101","0","332.280116","486.178197","554.082336","100","0","0","0","100","10","100",,"10","0","90"
"20260616-134926-naive-rdb-u100-r2","naive-rdb","100","2","100","101","0","179.198404","307.352546","315.227104","100","0","0","0","100","11","100",,"11","0","89"
"20260616-134926-naive-rdb-u100-r3","naive-rdb","100","3","100","101","0","180.904151","245.566434","253.698851","100","0","0","0","100","14","100",,"14","0","86"
"20260616-134926-naive-rdb-u100-r4","naive-rdb","100","4","100","101","0","112.445549","213.197482","219.311244","100","0","0","0","100","9","100",,"9","0","91"
"20260616-134926-naive-rdb-u100-r5","naive-rdb","100","5","100","101","0","195.183703","312.018773","342.552631","100","0","0","0","100","11","100",,"11","0","89"
"20260616-134926-naive-rdb-u500-r1","naive-rdb","500","1","100","501","0","756.463098","1352.022976","1391.037684","500","0","0","0","100","50","500",,"50","400","450"
"20260616-134926-naive-rdb-u500-r2","naive-rdb","500","2","100","501","0","692.218896","1108.034284","1135.975673","500","0","0","0","100","49","500",,"49","400","451"
"20260616-134926-naive-rdb-u500-r3","naive-rdb","500","3","100","501","0","750.749759","1155.512197","1184.607069","500","0","0","0","100","58","500",,"58","400","442"
"20260616-134926-naive-rdb-u500-r4","naive-rdb","500","4","100","501","0","692.915741","1126.719849","1148.499772","500","0","0","0","100","60","500",,"60","400","440"
"20260616-134926-naive-rdb-u500-r5","naive-rdb","500","5","100","501","0","606.673155","989.846362","1017.05223","500","0","0","0","100","64","500",,"64","400","436"
"20260616-134926-naive-rdb-u1000-r1","naive-rdb","1000","1","100","1001","0.004995004995005","899.191405","1544.513675","1592.561765","995","5","0","0","100","99","995",,"99","895","896"
"20260616-134926-naive-rdb-u1000-r2","naive-rdb","1000","2","100","1001","0.030969030969031","789.677456","1422.99803","1466.770266","969","31","0","0","100","100","969",,"100","869","869"
"20260616-134926-naive-rdb-u1000-r3","naive-rdb","1000","3","100","1001","0.000999000999000999","857.734011","1443.591471","1492.157953","999","1","0","0","100","97","999",,"97","899","902"
"20260616-134926-naive-rdb-u1000-r4","naive-rdb","1000","4","100","1001","0.00999000999000999","875.054747","1435.799575","1463.583755","990","10","0","0","100","90","990",,"90","890","900"
"20260616-134926-naive-rdb-u1000-r5","naive-rdb","1000","5","100","1001","0.00599400599400599","650.228581","1263.659303","1304.545494","994","6","0","0","100","93","994",,"93","894","901"
"20260616-140616-rdb-atomic-u100-r1","rdb-atomic","100","1","100","101","0","364.762676","620.845357","637.977097","100","0","0","0","100","100","100",,"100","0","0"
"20260616-140616-rdb-atomic-u100-r2","rdb-atomic","100","2","100","101","0","240.873082","398.712459","412.508051","100","0","0","0","100","100","100",,"100","0","0"
"20260616-140616-rdb-atomic-u100-r3","rdb-atomic","100","3","100","101","0","194.021997","317.730238","330.092812","100","0","0","0","100","100","100",,"100","0","0"
"20260616-140616-rdb-atomic-u100-r4","rdb-atomic","100","4","100","101","0","168.295307","273.356936","283.031602","100","0","0","0","100","100","100",,"100","0","0"
"20260616-140616-rdb-atomic-u100-r5","rdb-atomic","100","5","100","101","0","240.143985","408.998276","423.274298","100","0","0","0","100","100","100",,"100","0","0"
"20260616-140616-rdb-atomic-u500-r1","rdb-atomic","500","1","100","501","0.798403193612774","409.955932","512.54019","531.141835","100","400","0","0","100","100","100",,"100","0","0"
"20260616-140616-rdb-atomic-u500-r2","rdb-atomic","500","2","100","501","0.798403193612774","339.656123","440.787988","452.727822","100","400","0","0","100","100","100",,"100","0","0"
"20260616-140616-rdb-atomic-u500-r3","rdb-atomic","500","3","100","501","0.798403193612774","437.257051","544.019808","570.355897","100","400","0","0","100","100","100",,"100","0","0"
"20260616-140616-rdb-atomic-u500-r4","rdb-atomic","500","4","100","501","0.798403193612774","266.802892","328.342177","343.415284","100","400","0","0","100","100","100",,"100","0","0"
"20260616-140616-rdb-atomic-u500-r5","rdb-atomic","500","5","100","501","0.798403193612774","322.108788","400.900215","407.14399","100","400","0","0","100","100","100",,"100","0","0"
"20260616-140616-rdb-atomic-u1000-r1","rdb-atomic","1000","1","100","1001","0.899100899100899","274.046207","356.361292","372.830957","100","900","0","0","100","100","100",,"100","0","0"
"20260616-140616-rdb-atomic-u1000-r2","rdb-atomic","1000","2","100","1001","0.899100899100899","486.118622","589.84226","605.010132","100","900","0","0","100","100","100",,"100","0","0"
"20260616-140616-rdb-atomic-u1000-r3","rdb-atomic","1000","3","100","1001","0.899100899100899","318.519525","401.39743","412.584184","100","900","0","0","100","100","100",,"100","0","0"
"20260616-140616-rdb-atomic-u1000-r4","rdb-atomic","1000","4","100","1001","0.899100899100899","282.092174","373.846567","401.554921","100","900","0","0","100","100","100",,"100","0","0"
"20260616-140616-rdb-atomic-u1000-r5","rdb-atomic","1000","5","100","1001","0.899100899100899","262.132023","331.470635","339.058218","100","900","0","0","100","100","100",,"100","0","0"
"20260616-140922-rdb-pessimistic-u100-r1","rdb-pessimistic","100","1","100","101","0","403.064544","641.041129","663.102346","100","0","0","0","100","100","100",,"100","0","0"
"20260616-140922-rdb-pessimistic-u100-r2","rdb-pessimistic","100","2","100","101","0","365.077835","563.422053","580.786587","100","0","0","0","100","100","100",,"100","0","0"
"20260616-140922-rdb-pessimistic-u100-r3","rdb-pessimistic","100","3","100","101","0","268.761543","574.650338","598.018605","100","0","0","0","100","100","100",,"100","0","0"
"20260616-140922-rdb-pessimistic-u100-r4","rdb-pessimistic","100","4","100","101","0","368.248327","550.698197","566.533986","100","0","0","0","100","100","100",,"100","0","0"
"20260616-140922-rdb-pessimistic-u100-r5","rdb-pessimistic","100","5","100","101","0","256.723487","468.888834","485.910124","100","0","0","0","100","100","100",,"100","0","0"
"20260616-140922-rdb-pessimistic-u500-r1","rdb-pessimistic","500","1","100","501","0.798403193612774","617.734004","822.776966","852.436578","100","400","0","0","100","100","100",,"100","0","0"
"20260616-140922-rdb-pessimistic-u500-r2","rdb-pessimistic","500","2","100","501","0.798403193612774","548.710275","743.439877","753.247144","100","400","0","0","100","100","100",,"100","0","0"
"20260616-140922-rdb-pessimistic-u500-r3","rdb-pessimistic","500","3","100","501","0.798403193612774","480.940385","694.618892","707.011765","100","400","0","0","100","100","100",,"100","0","0"
"20260616-140922-rdb-pessimistic-u500-r4","rdb-pessimistic","500","4","100","501","0.798403193612774","499.162091","665.556141","677.336302","100","400","0","0","100","100","100",,"100","0","0"
"20260616-140922-rdb-pessimistic-u500-r5","rdb-pessimistic","500","5","100","501","0.798403193612774","448.424231","566.234084","591.60694","100","400","0","0","100","100","100",,"100","0","0"
"20260616-140922-rdb-pessimistic-u1000-r1","rdb-pessimistic","1000","1","100","1001","0.899100899100899","766.843343","1155.58187","1175.390006","100","900","0","0","100","100","100",,"100","0","0"
"20260616-140922-rdb-pessimistic-u1000-r2","rdb-pessimistic","1000","2","100","1001","0.899100899100899","828.107145","1222.939894","1264.340294","100","900","0","0","100","100","100",,"100","0","0"
"20260616-140922-rdb-pessimistic-u1000-r3","rdb-pessimistic","1000","3","100","1001","0.899100899100899","484.044317","757.168951","808.245625","100","900","0","0","100","100","100",,"100","0","0"
"20260616-140922-rdb-pessimistic-u1000-r4","rdb-pessimistic","1000","4","100","1001","0.899100899100899","636.486164","1000.784332","1039.745632","100","900","0","0","100","100","100",,"100","0","0"
"20260616-140922-rdb-pessimistic-u1000-r5","rdb-pessimistic","1000","5","100","1001","0.899100899100899","457.110547","688.073414","706.145111","100","900","0","0","100","100","100",,"100","0","0"
"20260616-141832-redis-lua-u100-r1","redis-lua","100","1","100","101","0","117.550265","173.48436","191.392079","100","0","0","0","100","0","100","0","100","0","0"
