"run_id","strategy","users","repeat","initial_stock","http_reqs","http_failed_rate","http_p50_ms","http_p95_ms","http_p99_ms","successful_purchases","sold_out_responses","lock_timeout_responses","unexpected_responses","db_initial_quantity","db_sold_quantity","db_order_count","redis_available","stock_decision_count","oversell_count","decision_order_gap"
"20260616-164131-redis-lua-u3000-r1","redis-lua","3000","1","100","3001","0.966344551816061","545.593809","1016.048364","1181.480716","100","2900","0","0","100","0","100","0","100","0","0"
"20260616-164131-redis-lua-u3000-r2","redis-lua","3000","2","100","3001","0.966344551816061","420.167692","663.74943","738.932484","100","2900","0","0","100","0","100","0","100","0","0"
"20260616-164131-redis-lua-u3000-r3","redis-lua","3000","3","100","3001","0.966344551816061","319.2402","551.228375","585.818784","100","2900","0","0","100","0","100","0","100","0","0"
"20260616-164131-redis-lua-u3000-r4","redis-lua","3000","4","100","3001","0.966344551816061","298.305472","470.032068","512.954882","100","2900","0","0","100","0","100","0","100","0","0"
"20260616-164131-redis-lua-u3000-r5","redis-lua","3000","5","100","3001","0.966344551816061","265.180296","473.030517","506.147963","100","2900","0","0","100","0","100","0","100","0","0"
"20260616-164131-redis-lua-u5000-r1","redis-lua","5000","1","100","5001","0.979804039192162","319.631228","511.64054","550.071868","100","4900","0","0","100","0","100","0","100","0","0"
"20260616-164131-redis-lua-u5000-r2","redis-lua","5000","2","100","5001","0.979804039192162","344.545412","488.396772","539.841943","100","4900","0","0","100","0","100","0","100","0","0"
"20260616-164131-redis-lua-u5000-r3","redis-lua","5000","3","100","5001","0.979804039192162","250.078926","373.020796","403.908966","100","4900","0","0","100","0","100","0","100","0","0"
"20260616-164131-redis-lua-u5000-r4","redis-lua","5000","4","100","5001","0.979804039192162","290.725778","516.659067","544.748199","100","4900","0","0","100","0","100","0","100","0","0"
"20260616-164131-redis-lua-u5000-r5","redis-lua","5000","5","100","5001","0.979804039192162","190.01629","354.78588","386.050723","100","4900","0","0","100","0","100","0","100","0","0"
"20260616-164131-redis-lua-u10000-r1","redis-lua","10000","1","100","10001","0.98990100989901","542.62608","984.308444","1063.367582","100","9900","0","0","100","0","100","0","100","0","0"
"20260616-164131-redis-lua-u10000-r2","redis-lua","10000","2","100","10001","0.98990100989901","671.931514","902.137551","1077.373899","100","9900","0","0","100","0","100","0","100","0","0"
"20260616-164131-redis-lua-u10000-r3","redis-lua","10000","3","100","10001","0.98990100989901","718.634796","1412.862163","1471.307634","100","9900","0","0","100","0","100","0","100","0","0"
"20260616-164131-redis-lua-u10000-r4","redis-lua","10000","4","100","10001","0.98990100989901","464.886928","817.935954","894.725004","100","9900","0","0","100","0","100","0","100","0","0"
"20260616-164131-redis-lua-u10000-r5","redis-lua","10000","5","100","10001","0.98990100989901","688.354354","813.765248","889.542957","100","9900","0","0","100","0","100","0","100","0","0"
"20260616-164842-rdb-atomic-u3000-r1","rdb-atomic","3000","1","100","3001","0.966344551816061","1143.449508","1662.095522","1902.738213","100","2900","0","0","100","100","100",,"100","0","0"
"20260616-164842-rdb-atomic-u3000-r2","rdb-atomic","3000","2","100","3001","0.966344551816061","870.807507","1226.216488","1282.382652","100","2900","0","0","100","100","100",,"100","0","0"
"20260616-164842-rdb-atomic-u3000-r3","rdb-atomic","3000","3","100","3001","0.966344551816061","598.756921","816.997259","850.768113","100","2900","0","0","100","100","100",,"100","0","0"
"20260616-164842-rdb-atomic-u3000-r4","rdb-atomic","3000","4","100","3001","0.966344551816061","547.023632","822.427614","898.930917","100","2900","0","0","100","100","100",,"100","0","0"
"20260616-164842-rdb-atomic-u3000-r5","rdb-atomic","3000","5","100","3001","0.966344551816061","412.16854","674.23437","723.295313","100","2900","0","0","100","100","100",,"100","0","0"
"20260616-164842-rdb-atomic-u5000-r1","rdb-atomic","5000","1","100","5001","0.979804039192162","540.429074","734.300691","761.855144","100","4900","0","0","100","100","100",,"100","0","0"
"20260616-164842-rdb-atomic-u5000-r2","rdb-atomic","5000","2","100","5001","0.979804039192162","517.633031","643.647625","666.932134","100","4900","0","0","100","100","100",,"100","0","0"
"20260616-164842-rdb-atomic-u5000-r3","rdb-atomic","5000","3","100","5001","0.979804039192162","408.739039","475.071548","519.845223","100","4900","0","0","100","100","100",,"100","0","0"
"20260616-164842-rdb-atomic-u5000-r4","rdb-atomic","5000","4","100","5001","0.979804039192162","433.388883","586.7522","607.205035","100","4900","0","0","100","100","100",,"100","0","0"
"20260616-164842-rdb-atomic-u5000-r5","rdb-atomic","5000","5","100","5001","0.979804039192162","311.061644","435.89901","467.192694","100","4900","0","0","100","100","100",,"100","0","0"
"20260616-164842-rdb-atomic-u10000-r1","rdb-atomic","10000","1","100","10001","0.98990100989901","1270.260281","1588.574155","1670.885948","100","9886","0","14","100","100","100",,"100","0","0"
"20260616-164842-rdb-atomic-u10000-r2","rdb-atomic","10000","2","100","10001","0.98990100989901","525.792733","1014.996979","58795.609893","100","8982","0","918","100","100","100",,"100","0","0"
"20260616-164842-rdb-atomic-u10000-r3","rdb-atomic","10000","3","100","10001","0.98990100989901","928.277053","1245.119033","1425.055791","100","9900","0","0","100","100","100",,"100","0","0"
"20260616-164842-rdb-atomic-u10000-r4","rdb-atomic","10000","4","100","10001","0.98990100989901","1046.268619","1451.213378","58770.971477","100","8998","0","902","100","100","100",,"100","0","0"
"20260616-164842-rdb-atomic-u10000-r5","rdb-atomic","10000","5","100","10001","0.98990100989901","1171.15967","2478.099256","58138.291258","100","9387","0","513","100","100","100",,"100","0","0"
