"run_id","policy","users","repeat","initial_stock","batch_size","active_capacity","max_polls","think_time_seconds","http_reqs","http_failed_rate","http_p50_ms","http_p95_ms","http_p99_ms","purchase_p50_ms","purchase_p95_ms","purchase_p99_ms","waiting_entries","active_statuses","not_admitted_within_window","purchase_attempts","successful_purchases","sold_out_responses","active_token_required_responses","unexpected_responses","db_initial_quantity","db_sold_quantity","db_order_count","redis_available","stock_decision_count","oversell_count","decision_order_gap","waiting_queue_size_after","active_token_current_after"
"20260707-155224-fixed-u1000-t2-r1","fixed","1000","1","100","30","10000","20","2","15922","0.0314030900640623","3.5981155","138.6883812","918.94915071","3.588002","16.86912645","259.28911682","1000","600","400","600","100","500","0","0","100","0","100","0","100","0","0","310","90"
"20260707-155224-fixed-u1000-t5-r1","fixed","1000","1","100","30","10000","20","5","15901","0.0314445632350167","3.315936","112.728869","317.585243","2.621273","9.97629995","17.66575132","1000","600","400","600","100","500","0","0","100","0","100","0","100","0","0","220","180"
"20260707-155224-fixed-u1000-t10-r1","fixed","1000","1","100","30","10000","20","10","15901","0.0314445632350167","2.946389","99.917055","290.522516","2.603936","11.26165375","19.90787168","1000","600","400","600","100","500","0","0","100","0","100","0","100","0","0","70","330"
"20260707-155425-hybrid-u1000-t2-r1","hybrid","1000","1","100","30","100","20","2","16336","0.0306072477962782","3.2411475","139.10219375","648.996627599999","2.9383415","28.2935049999904","258.85267046","1000","600","400","600","100","500","0","0","100","0","100","0","100","0","0","310","90"
"20260707-155425-hybrid-u1000-t5-r1","hybrid","1000","1","100","30","100","20","5","17791","0.0146141307402619","3.077135","92.3700485","287.4247059","2.7827935","11.10398885","12.03663325","1000","360","640","360","100","260","0","0","100","0","100","0","100","0","0","540","100"
"20260707-155425-hybrid-u1000-t10-r1","hybrid","1000","1","100","30","100","20","10","18741","0.00533589456272344","3.191786","80.822382","283.443709799999","4.501645","10.8587926","11.23296772","1000","200","800","200","100","100","0","0","100","0","100","0","100","0","0","700","100"
"20260707-155621-hybrid-u1000-t2-r1","hybrid","1000","1","100","20","100","20","2","17601","0.0170444861087438","2.521725","95.512996","671.876381","2.634287","26.0586304499899","259.12014266","1000","400","600","400","100","300","0","0","100","0","100","0","100","0","0","540","60"
"20260707-155621-hybrid-u1000-t5-r1","hybrid","1000","1","100","20","100","20","5","18021","0.0133177959047778","2.591151","25.641851","240.521711","2.537339","11.48458825","12.04283644","1000","340","660","340","100","240","0","0","100","0","100","0","100","0","0","560","100"
"20260707-155621-hybrid-u1000-t10-r1","hybrid","1000","1","100","20","100","20","10","18901","0.00529072535844664","2.768604","29.026529","253.560035","3.395906","10.22835365","13.38336553","1000","200","800","200","100","100","0","0","100","0","100","0","100","0","0","700","100"
"20260707-155836-hybrid-u1000-t2-r1","hybrid","1000","1","100","30","200","20","2","15901","0.0314445632350167","2.587112","90.572187","623.336998","2.449256","23.9653922999911","256.55199384","1000","600","400","600","100","500","0","0","100","0","100","0","100","0","0","310","90"
"20260707-155836-hybrid-u1000-t5-r1","hybrid","1000","1","100","30","200","20","5","15901","0.0314445632350167","2.726589","106.349535","277.290712","1.963552","7.32508105","9.53122149999999","1000","600","400","600","100","500","0","0","100","0","100","0","100","0","0","220","180"
"20260707-155836-hybrid-u1000-t10-r1","hybrid","1000","1","100","30","200","20","10","17141","0.0175018960387375","2.558507","97.859649","249.674647","2.0662355","7.54002405","9.1183313","1000","400","600","400","100","300","0","0","100","0","100","0","100","0","0","400","200"
