"run_id","architecture","strategy","scenario_mode","users","iterations","initial_stock","baseline_initial_stock","hikari_max_pool_size","hikari_connection_timeout_ms","waiting_room_enabled","active_capacity","failure_limit","duplicate_requests","http_req_failed_rate","http_p50_ms","http_p95_ms","http_p99_ms","reservation_p50_ms","reservation_p95_ms","reservation_p99_ms","reservation_attempts","reservation_created","reservation_reused","sold_out_responses","already_reserved_responses","retryable_failure_responses","active_token_required_responses","idempotency_processing_responses","unexpected_responses","db_sold_quantity","db_reserved_count","duplicate_reservation_count","redis_available","stock_decision_count","decision_reservation_gap","oversell_count","idempotency_hit_metric","duplicate_rejected_metric","front_gate_accepted_metric","front_gate_rejected_metric","compensation_success_metric","compensation_failure_metric"
"20260710-004116-redis-frontgate-normal-u1000-pool10","redis-frontgate","redis-frontgate","normal","1000","1000","100","100","10","30000","false","100","0","1","0","225.885141","765.271528","802.509854","226.686418","765.2786735","802.52896214","1000","100","0","900","0","0","0","0","0","0","100","0","0","100","0","0","0","0","100","900","0","0"
"20260710-004116-rdb-atomic-normal-u1000-pool10","rdb-atomic","rdb-atomic","normal","1000","1000","100","100","10","30000","false","100","0","1","0","847.574204","1476.674017","1636.426127","847.632801","1476.79838225","1636.48877898","1000","100","0","900","0","0","0","0","0","100","100","0",,"100","0","0","0","0","0","0","0","0"
"20260710-004116-redis-frontgate-normal-u3000-pool10","redis-frontgate","redis-frontgate","normal","3000","3000","100","100","10","30000","false","100","0","1","0","848.988519","1312.308187","1466.301214","849.1723695","1312.33547255","1466.31804399","3000","100","0","2900","0","0","0","0","0","0","100","0","0","100","0","0","0","0","100","2900","0","0"
"20260710-004116-rdb-atomic-normal-u3000-pool10","rdb-atomic","rdb-atomic","normal","3000","3000","100","100","10","30000","false","100","0","1","0","1963.873294","2620.918169","2796.935163","1964.0204085","2621.13698825","2796.96103923","3000","100","0","2900","0","0","0","0","0","100","100","0",,"100","0","0","0","0","0","0","0","0"
"20260710-004116-redis-frontgate-normal-u5000-pool10","redis-frontgate","redis-frontgate","normal","5000","5000","100","100","10","30000","false","100","0","1","0","915.955112","1310.913588","1369.366661","915.983466","1310.93300475","1369.37862835","5000","100","0","4900","0","0","0","0","0","0","100","0","0","100","0","0","0","0","100","4900","0","0"
"20260710-004116-rdb-atomic-normal-u5000-pool10","rdb-atomic","rdb-atomic","normal","5000","5000","100","100","10","30000","false","100","0","1","0","3500.500651","3955.943446","4071.829392","3500.702822","3955.9737168","4071.83042819","5000","100","0","4900","0","0","0","0","0","100","100","0",,"100","0","0","0","0","0","0","0","0"
"20260710-004116-redis-frontgate-sold-out-u1000-pool10","redis-frontgate","redis-frontgate","sold-out","1000","1000","0","100","10","30000","false","100","0","1","0","208.602098","465.639403","482.71144","208.686193","465.69449085","482.71513476","1000","0","0","1000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","0","0"
"20260710-004116-rdb-atomic-sold-out-u1000-pool10","rdb-atomic","rdb-atomic","sold-out","1000","1000","0","100","10","30000","false","100","0","1","0","378.427013","863.459129","900.093386","378.450608","863.4965836","900.0941713","1000","0","0","1000","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0"
"20260710-004116-redis-frontgate-sold-out-u3000-pool10","redis-frontgate","redis-frontgate","sold-out","3000","3000","0","100","10","30000","false","100","0","1","0","373.848435","733.510328","815.359231","373.9591305","733.52478715","815.36094468","3000","0","0","3000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3000","0","0"
"20260710-004116-rdb-atomic-sold-out-u3000-pool10","rdb-atomic","rdb-atomic","sold-out","3000","3000","0","100","10","30000","false","100","0","1","0","1650.248853","2219.696096","2283.215806","1650.282296","2219.70348865","2283.24926142","3000","0","0","3000","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0"
